2018-04-21 10:05:39 this bot joined the server
2018-04-21 10:12:55 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #204754 to #9a427d
2018-04-21 10:12:58 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #9a427d to #07596f
2018-04-21 10:13:06 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #07596f to #ab0b58
2018-04-21 10:13:13 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #ab0b58 to #3f640c
2018-04-21 10:13:16 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #3f640c to #abf874
2018-04-21 10:13:24 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #abf874 to #b16b01
2018-04-21 10:13:28 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #b16b01 to #ea17f4
2018-04-21 10:13:31 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #ea17f4 to #2e9291
2018-04-21 10:13:35 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #2e9291 to #41b927
2018-04-21 10:13:42 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #41b927 to #a717d2
2018-04-21 10:13:54 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #a717d2 to #db0995
2018-04-21 10:13:58 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #db0995 to #48cc3d
2018-04-21 10:14:01 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #48cc3d to #418892
2018-04-21 10:14:09 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #418892 to #2fedb6
2018-04-21 10:14:16 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #2fedb6 to #0fada6
2018-04-21 10:14:23 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #0fada6 to #02f25c
2018-04-21 10:14:26 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #02f25c to #13e790
2018-04-21 10:14:34 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #13e790 to #4fbb8e
2018-04-21 10:14:39 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #4fbb8e to #b5ab32
2018-04-21 10:14:47 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #b5ab32 to #96ed06
2018-04-21 10:14:51 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #96ed06 to #e1ca38
2018-04-21 10:14:55 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #e1ca38 to #aab7af
2018-04-21 10:15:00 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #aab7af to #db2077
2018-04-21 10:15:08 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #db2077 to #273a4e
2018-04-21 10:15:12 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #273a4e to #f704ac
2018-04-21 10:15:16 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #f704ac to #badf25
2018-04-21 10:15:21 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #badf25 to #c07c88
2018-04-21 10:15:25 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #c07c88 to #0b741d
2018-04-21 10:15:27 Channel overwrites: 🚧bot-testing🚧 (427340485418549249): member Echo (249891250117804032) removed (was 339009, 0)
2018-04-21 10:15:27 Role deleted: 'Echo' (id 435442134825435136)
2018-04-21 10:15:27 Member leave: @Echo#2101 (id 249891250117804032)
2018-04-21 10:15:29 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #0b741d to #5d3d5d
2018-04-21 10:15:29 Role position: 'OWNER [WHOLE UNIVERSE]' changed from 21 to 22
2018-04-21 10:15:52 Role deleted: 'Nadeko' (id 434439985899372575)
2018-04-21 10:15:52 Member leave: @Nadeko#6685 (id 116275390695079945)
2018-04-21 10:15:54 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #5d3d5d to #606f7a
2018-04-21 10:15:54 Role position: 'OWNER [WHOLE UNIVERSE]' changed from 21 to 22
2018-04-21 10:15:58 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #606f7a to #7be5cf
2018-04-21 10:16:02 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #7be5cf to #a320bf
