2018-04-22 00:01:06 this bot joined the server
2018-04-22 00:50:39 Role color: 'my coloring role' changed from #e8bd98 to #1b2930
2018-04-22 00:50:49 Role color: 'my coloring role' changed from #1b2930 to #4035b2
2018-04-22 00:50:58 Role color: 'my coloring role' changed from #4035b2 to #441344
2018-04-22 00:51:08 Role color: 'my coloring role' changed from #441344 to #b7a97c
2018-04-22 00:51:24 Role color: 'my coloring role' changed from #b7a97c to #5c5004
2018-04-22 00:51:34 Role color: 'my coloring role' changed from #5c5004 to #cc336d
2018-04-22 00:51:49 Role color: 'my coloring role' changed from #cc336d to #ee2f9e
2018-04-22 00:51:59 Role color: 'my coloring role' changed from #ee2f9e to #d09de5
2018-04-22 00:52:10 Role color: 'my coloring role' changed from #d09de5 to #b3c958
2018-04-22 00:52:20 Role color: 'my coloring role' changed from #b3c958 to #e6f6f6
2018-04-22 00:52:28 Role permissions: 'YAGPDB.xyz' changed from 535948311 to 536210519
2018-04-22 00:52:28 Role position: 'YAGPDB.xyz' changed from 1 to 4
2018-04-22 00:52:28 Role position: 'my coloring role' changed from 4 to 5
2018-04-22 00:52:28 Role position: 'niaa ❤️' changed from 8 to 7
2018-04-22 00:52:28 Role position: 'Ghostplay R2' changed from 9 to 8
2018-04-22 00:52:30 Role color: 'my coloring role' changed from #e6f6f6 to #db978f
2018-04-22 00:52:40 Role color: 'my coloring role' changed from #db978f to #11aff7
2018-04-22 00:52:43 Role position: 'my coloring role' changed from 5 to 4
2018-04-22 00:52:43 Role position: '˚✧₊⁎' changed from 6 to 5
2018-04-22 00:52:43 Role position: 'niaa ❤️' changed from 7 to 6
2018-04-22 00:52:43 Role position: 'YAGPDB.xyz' changed from 4 to 7
2018-04-22 00:53:01 Role color: 'my coloring role' changed from #11aff7 to #c07c66
2018-04-22 00:53:11 Role color: 'my coloring role' changed from #c07c66 to #1951d9
2018-04-22 00:53:39 Role color: 'my coloring role' changed from #1951d9 to #062f3f
2018-04-22 00:53:49 Role color: 'my coloring role' changed from #062f3f to #355b8c
2018-04-22 00:54:23 Role color: 'my coloring role' changed from #355b8c to #9866e5
2018-04-22 00:54:32 Role color: 'my coloring role' changed from #9866e5 to #82f8ac
2018-04-22 00:54:42 Role color: 'my coloring role' changed from #82f8ac to #aaee22
2018-04-22 00:54:52 Role color: 'my coloring role' changed from #aaee22 to #4e95f8
2018-04-22 00:55:08 Role color: 'my coloring role' changed from #4e95f8 to #ee4519
2018-04-22 00:55:18 Role color: 'my coloring role' changed from #ee4519 to #422a75
2018-04-22 00:55:34 Role color: 'my coloring role' changed from #422a75 to #e620e0
2018-04-22 00:55:49 Role color: 'my coloring role' changed from #e620e0 to #7f3481
2018-04-22 00:55:59 Role color: 'my coloring role' changed from #7f3481 to #908c52
2018-04-22 00:56:09 Role color: 'my coloring role' changed from #908c52 to #de7bdb
2018-04-22 00:56:19 Role color: 'my coloring role' changed from #de7bdb to #7e46ca
2018-04-22 00:56:29 Role color: 'my coloring role' changed from #7e46ca to #80a015
2018-04-22 00:56:51 Role color: 'my coloring role' changed from #80a015 to #8a7254
2018-04-22 00:57:01 Role color: 'my coloring role' changed from #8a7254 to #d6fb6a
2018-04-22 00:57:10 Role color: 'my coloring role' changed from #d6fb6a to #798d55
2018-04-22 00:57:32 Role color: 'my coloring role' changed from #798d55 to #f95b96
