2018-04-24 19:12:39 this bot joined the server
2018-04-24 19:12:39 Member role add: 'Synapse' role was added to @Synapse#0692
2018-04-24 19:12:53 Member role add: '📞SEKRETER📞' role was added to @Synapse#0692
2018-04-24 21:10:38 Role color: '👑 KİNG FOUNDER👑' changed from #6ff4da to #bece55
2018-04-24 21:10:49 Role color: '👑 KİNG FOUNDER👑' changed from #bece55 to #7d4031
2018-04-24 21:10:59 Role color: '👑 KİNG FOUNDER👑' changed from #7d4031 to #29e6a6
2018-04-24 21:11:09 Role color: '👑 KİNG FOUNDER👑' changed from #29e6a6 to #fa1d5a
2018-04-24 21:11:19 Role color: '👑 KİNG FOUNDER👑' changed from #fa1d5a to #94c53b
2018-04-24 21:11:30 Role color: '👑 KİNG FOUNDER👑' changed from #94c53b to #227488
2018-04-24 21:11:46 Role color: '👑 KİNG FOUNDER👑' changed from #227488 to #93a942
2018-04-24 21:11:56 Role color: '👑 KİNG FOUNDER👑' changed from #93a942 to #885e26
2018-04-24 21:12:47 Role color: '👑 KİNG FOUNDER👑' changed from #885e26 to #b8a0d9
2018-04-24 21:12:57 Role color: '👑 KİNG FOUNDER👑' changed from #b8a0d9 to #4c667a
2018-04-24 21:13:08 Role color: '👑 KİNG FOUNDER👑' changed from #4c667a to #59df3f
2018-04-24 21:13:18 Role color: '👑 KİNG FOUNDER👑' changed from #59df3f to #7d640c
2018-04-24 21:13:28 Role color: '👑 KİNG FOUNDER👑' changed from #7d640c to #2d7dfb
2018-04-24 21:13:39 Role color: '👑 KİNG FOUNDER👑' changed from #2d7dfb to #8161cc
2018-04-24 21:13:49 Role color: '👑 KİNG FOUNDER👑' changed from #8161cc to #819b51
2018-04-24 21:14:00 Role color: '👑 KİNG FOUNDER👑' changed from #819b51 to #9e879e
2018-04-24 21:14:10 Role color: '👑 KİNG FOUNDER👑' changed from #9e879e to #d07bef
2018-04-24 21:14:19 Role color: '👑 KİNG FOUNDER👑' changed from #d07bef to #9d1710
2018-04-24 21:14:48 Role color: '👑 KİNG FOUNDER👑' changed from #9d1710 to #b69d0e
2018-04-24 21:15:04 Role color: '👑 KİNG FOUNDER👑' changed from #b69d0e to #3e0f98
2018-04-24 21:15:15 Role color: '👑 KİNG FOUNDER👑' changed from #3e0f98 to #f3fcb1
2018-04-24 21:15:25 Role color: '👑 KİNG FOUNDER👑' changed from #f3fcb1 to #518892
2018-04-24 21:15:35 Role color: '👑 KİNG FOUNDER👑' changed from #518892 to #74b2e3
2018-04-24 21:15:52 Role color: '👑 KİNG FOUNDER👑' changed from #74b2e3 to #de2478
2018-04-24 21:16:02 Role color: '👑 KİNG FOUNDER👑' changed from #de2478 to #4f5aa8
2018-04-24 21:16:13 Role color: '👑 KİNG FOUNDER👑' changed from #4f5aa8 to #a5bac7
2018-04-24 21:16:23 Role color: '👑 KİNG FOUNDER👑' changed from #a5bac7 to #e82497
2018-04-24 21:16:33 Role color: '👑 KİNG FOUNDER👑' changed from #e82497 to #c8cf31
2018-04-24 21:16:44 Role color: '👑 KİNG FOUNDER👑' changed from #c8cf31 to #d10b04
2018-04-24 21:16:55 Role color: '👑 KİNG FOUNDER👑' changed from #d10b04 to #d92a17
2018-04-24 21:17:12 Role color: '👑 KİNG FOUNDER👑' changed from #d92a17 to #258751
2018-04-24 21:17:23 Role color: '👑 KİNG FOUNDER👑' changed from #258751 to #a77252
2018-04-24 21:17:39 Role color: '👑 KİNG FOUNDER👑' changed from #a77252 to #19c771
2018-04-24 21:17:49 Role color: '👑 KİNG FOUNDER👑' changed from #19c771 to #237362
2018-04-24 21:18:00 Role color: '👑 KİNG FOUNDER👑' changed from #237362 to #c613d9
2018-04-24 21:18:17 Role color: '👑 KİNG FOUNDER👑' changed from #c613d9 to #20288a
2018-04-24 21:18:27 Role color: '👑 KİNG FOUNDER👑' changed from #20288a to #b1ed6b
2018-04-24 21:18:37 Role color: '👑 KİNG FOUNDER👑' changed from #b1ed6b to #e7ffc3
2018-04-24 21:18:47 Role color: '👑 KİNG FOUNDER👑' changed from #e7ffc3 to #9a678d
2018-04-24 21:19:04 Role color: '👑 KİNG FOUNDER👑' changed from #9a678d to #1b36be
2018-04-24 21:19:15 Role color: '👑 KİNG FOUNDER👑' changed from #1b36be to #bde547
2018-04-24 21:19:32 Role color: '👑 KİNG FOUNDER👑' changed from #bde547 to #2105bf
2018-04-24 21:19:42 Role color: '👑 KİNG FOUNDER👑' changed from #2105bf to #43bbb3
2018-04-24 21:19:58 Role color: '👑 KİNG FOUNDER👑' changed from #43bbb3 to #09afc5
2018-04-24 21:20:09 Role color: '👑 KİNG FOUNDER👑' changed from #09afc5 to #265ed9
2018-04-24 21:20:26 Role color: '👑 KİNG FOUNDER👑' changed from #265ed9 to #997f44
2018-04-24 21:20:55 Role color: '👑 KİNG FOUNDER👑' changed from #997f44 to #dcbd35
2018-04-24 21:21:12 Role color: '👑 KİNG FOUNDER👑' changed from #dcbd35 to #34c360
2018-04-24 21:21:23 Role color: '👑 KİNG FOUNDER👑' changed from #34c360 to #29655f
2018-04-24 21:21:33 Role color: '👑 KİNG FOUNDER👑' changed from #29655f to #db73cc
2018-04-24 21:21:44 Role color: '👑 KİNG FOUNDER👑' changed from #db73cc to #a79472
2018-04-24 21:21:54 Role color: '👑 KİNG FOUNDER👑' changed from #a79472 to #3f2817
2018-04-24 21:22:04 Role color: '👑 KİNG FOUNDER👑' changed from #3f2817 to #911b58
2018-04-24 21:22:21 Role color: '👑 KİNG FOUNDER👑' changed from #911b58 to #25b303
2018-04-24 21:22:43 Role color: '👑 KİNG FOUNDER👑' changed from #25b303 to #70aedb
2018-04-24 21:22:53 Role color: '👑 KİNG FOUNDER👑' changed from #70aedb to #c35b42
2018-04-24 21:23:10 Role color: '👑 KİNG FOUNDER👑' changed from #c35b42 to #f0937b
2018-04-24 21:23:21 Role color: '👑 KİNG FOUNDER👑' changed from #f0937b to #fe65c6
2018-04-24 21:23:32 Role color: '👑 KİNG FOUNDER👑' changed from #fe65c6 to #d02438
2018-04-24 21:23:42 Role color: '👑 KİNG FOUNDER👑' changed from #d02438 to #e88948
2018-04-24 21:23:52 Role color: '👑 KİNG FOUNDER👑' changed from #e88948 to #451ca1
2018-04-24 21:24:09 Role color: '👑 KİNG FOUNDER👑' changed from #451ca1 to #4b62ff
2018-04-24 21:24:20 Role color: '👑 KİNG FOUNDER👑' changed from #4b62ff to #9854ce
2018-04-24 21:24:30 Role color: '👑 KİNG FOUNDER👑' changed from #9854ce to #aa62f7
2018-04-24 21:24:40 Role color: '👑 KİNG FOUNDER👑' changed from #aa62f7 to #de4867
2018-04-24 21:24:50 Role color: '👑 KİNG FOUNDER👑' changed from #de4867 to #ad74be
2018-04-24 21:25:00 Role color: '👑 KİNG FOUNDER👑' changed from #ad74be to #120922
2018-04-24 21:25:17 Role color: '👑 KİNG FOUNDER👑' changed from #120922 to #f87374
2018-04-24 21:25:27 Role color: '👑 KİNG FOUNDER👑' changed from #f87374 to #8ebeaa
2018-04-24 21:25:37 Role color: '👑 KİNG FOUNDER👑' changed from #8ebeaa to #42ef64
2018-04-24 21:25:48 Role color: '👑 KİNG FOUNDER👑' changed from #42ef64 to #aa370b
2018-04-24 21:26:06 Role color: '👑 KİNG FOUNDER👑' changed from #aa370b to #bb01ab
2018-04-24 21:26:16 Role color: '👑 KİNG FOUNDER👑' changed from #bb01ab to #754fc3
2018-04-24 21:26:27 Role color: '👑 KİNG FOUNDER👑' changed from #754fc3 to #5d961a
2018-04-24 21:26:37 Role color: '👑 KİNG FOUNDER👑' changed from #5d961a to #735914
2018-04-24 21:26:48 Role color: '👑 KİNG FOUNDER👑' changed from #735914 to #f1ed25
2018-04-24 21:26:58 Role color: '👑 KİNG FOUNDER👑' changed from #f1ed25 to #228e5e
2018-04-24 21:27:08 Role color: '👑 KİNG FOUNDER👑' changed from #228e5e to #8831d0
2018-04-24 21:27:19 Role color: '👑 KİNG FOUNDER👑' changed from #8831d0 to #bdb5b9
2018-04-24 21:27:29 Role color: '👑 KİNG FOUNDER👑' changed from #bdb5b9 to #663b83
2018-04-24 21:27:39 Role color: '👑 KİNG FOUNDER👑' changed from #663b83 to #77ff59
2018-04-24 21:27:50 Role color: '👑 KİNG FOUNDER👑' changed from #77ff59 to #b2ef2c
2018-04-24 21:28:00 Role color: '👑 KİNG FOUNDER👑' changed from #b2ef2c to #5297ce
2018-04-24 21:28:11 Role color: '👑 KİNG FOUNDER👑' changed from #5297ce to #67e455
2018-04-24 21:28:21 Role color: '👑 KİNG FOUNDER👑' changed from #67e455 to #07c75c
2018-04-24 21:28:31 Role color: '👑 KİNG FOUNDER👑' changed from #07c75c to #b7e335
2018-04-24 21:28:41 Role color: '👑 KİNG FOUNDER👑' changed from #b7e335 to #7c9c1c
2018-04-24 21:28:51 Role color: '👑 KİNG FOUNDER👑' changed from #7c9c1c to #da1f59
2018-04-24 21:29:01 Role color: '👑 KİNG FOUNDER👑' changed from #da1f59 to #82856b
2018-04-24 21:29:12 Role color: '👑 KİNG FOUNDER👑' changed from #82856b to #87b15c
2018-04-24 21:29:23 Role color: '👑 KİNG FOUNDER👑' changed from #87b15c to #e4902d
2018-04-24 21:29:46 Role color: '👑 KİNG FOUNDER👑' changed from #e4902d to #20a5ed
2018-04-24 21:29:56 Role color: '👑 KİNG FOUNDER👑' changed from #20a5ed to #0d57a0
2018-04-24 21:30:13 Role color: '👑 KİNG FOUNDER👑' changed from #0d57a0 to #bf5b7c
2018-04-24 21:30:24 Role color: '👑 KİNG FOUNDER👑' changed from #bf5b7c to #8f597a
2018-04-24 21:30:53 Role color: '👑 KİNG FOUNDER👑' changed from #8f597a to #6cdedd
2018-04-24 21:31:03 Role color: '👑 KİNG FOUNDER👑' changed from #6cdedd to #58176c
2018-04-24 21:31:13 Role color: '👑 KİNG FOUNDER👑' changed from #58176c to #23f401
2018-04-24 21:31:23 Role color: '👑 KİNG FOUNDER👑' changed from #23f401 to #93c26d
2018-04-24 21:31:33 Role color: '👑 KİNG FOUNDER👑' changed from #93c26d to #56973f
2018-04-24 21:31:43 Role color: '👑 KİNG FOUNDER👑' changed from #56973f to #f129ea
2018-04-24 21:32:06 Role color: '👑 KİNG FOUNDER👑' changed from #f129ea to #d5880b
2018-04-24 21:32:17 Role color: '👑 KİNG FOUNDER👑' changed from #d5880b to #ce3d1f
2018-04-24 21:32:27 Role color: '👑 KİNG FOUNDER👑' changed from #ce3d1f to #b1a9ae
2018-04-24 21:32:37 Role color: '👑 KİNG FOUNDER👑' changed from #b1a9ae to #278170
2018-04-24 21:33:12 Role color: '👑 KİNG FOUNDER👑' changed from #278170 to #6ac01f
2018-04-24 21:33:31 Role color: '👑 KİNG FOUNDER👑' changed from #6ac01f to #c0f172
